epitope	gene	freq	SE
GenBank	IGKV1-12	0.0194	0.0012
GenBank	IGKV1-13	0.0026	0.0005
GenBank	IGKV1-16	0.0065	0.0007
GenBank	IGKV1-17	0.0113	0.0009
GenBank	IGKV1-27	0.017	0.0012
GenBank	IGKV1-33	0.0353	0.0017
GenBank	IGKV1-39	0.1068	0.0028
GenBank	IGKV1-5	0.0596	0.0021
GenBank	IGKV1-9	0.0259	0.0014
GenBank	IGKV1-NL1	0.0021	0.0004
GenBank	IGKV1D-12	0.0051	0.0006
GenBank	IGKV1D-13	0.001	0.0003
GenBank	IGKV1D-16	0.0039	0.0006
GenBank	IGKV2-24	0.0064	0.0007
GenBank	IGKV2-28	0.0262	0.0014
GenBank	IGKV2-30	0.0289	0.0015
GenBank	IGKV2-40	0.0014	0.0003
GenBank	IGKV2D-29	0.0044	0.0006
GenBank	IGKV3-11	0.0558	0.0021
GenBank	IGKV3-15	0.0727	0.0023
GenBank	IGKV3-20	0.1313	0.003
GenBank	IGKV4-1	0.0376	0.0017
GenBank	IGLV1-36	0.0015	0.0003
GenBank	IGLV1-40	0.0373	0.0017
GenBank	IGLV1-44	0.0245	0.0014
GenBank	IGLV1-47	0.0159	0.0011
GenBank	IGLV1-51	0.0267	0.0014
GenBank	IGLV10-54	0.0011	0.0003
GenBank	IGLV2-11	0.0119	0.001
GenBank	IGLV2-14	0.0391	0.0017
GenBank	IGLV2-23	0.0185	0.0012
GenBank	IGLV2-8	0.0137	0.001
GenBank	IGLV3-1	0.0211	0.0013
GenBank	IGLV3-10	0.0081	0.0008
GenBank	IGLV3-19	0.0161	0.0011
GenBank	IGLV3-21	0.0278	0.0015
GenBank	IGLV3-25	0.0146	0.0011
GenBank	IGLV3-9	0.0033	0.0005
GenBank	IGLV4-69	0.0033	0.0005
GenBank	IGLV6-57	0.0125	0.001
GenBank	IGLV7-46	0.0033	0.0005
Head	IGKV1-12	0.0046	0.0046
Head	IGKV1-13	0	0
Head	IGKV1-16	0	0
Head	IGKV1-17	0.0229	0.0101
Head	IGKV1-27	0.0092	0.0065
Head	IGKV1-33	0.1147	0.0216
Head	IGKV1-39	0.1101	0.0212
Head	IGKV1-5	0.0413	0.0135
Head	IGKV1-9	0.0138	0.0079
Head	IGKV1-NL1	0.0046	0.0046
Head	IGKV1D-12	0	0
Head	IGKV1D-13	0.0046	0.0046
Head	IGKV1D-16	0.0092	0.0065
Head	IGKV2-24	0	0
Head	IGKV2-28	0.0459	0.0142
Head	IGKV2-30	0.0092	0.0065
Head	IGKV2-40	0	0
Head	IGKV2D-29	0	0
Head	IGKV3-11	0.0413	0.0135
Head	IGKV3-15	0.0596	0.016
Head	IGKV3-20	0.0413	0.0135
Head	IGKV4-1	0.0275	0.0111
Head	IGLV1-36	0.0046	0.0046
Head	IGLV1-40	0.0596	0.016
Head	IGLV1-44	0.0642	0.0166
Head	IGLV1-47	0.0321	0.0119
Head	IGLV1-51	0.0229	0.0101
Head	IGLV10-54	0	0
Head	IGLV2-11	0.0092	0.0065
Head	IGLV2-14	0.0413	0.0135
Head	IGLV2-23	0	0
Head	IGLV2-8	0.0138	0.0079
Head	IGLV3-1	0.0459	0.0142
Head	IGLV3-10	0	0
Head	IGLV3-19	0	0
Head	IGLV3-21	0.0642	0.0166
Head	IGLV3-25	0.0046	0.0046
Head	IGLV3-9	0.0413	0.0135
Head	IGLV4-69	0.0183	0.0091
Head	IGLV6-57	0.0138	0.0079
Head	IGLV7-46	0.0046	0.0046
Stem	IGKV1-12	0.015	0.0086
Stem	IGKV1-13	0.01	0.007
Stem	IGKV1-16	0.015	0.0086
Stem	IGKV1-17	0.01	0.007
Stem	IGKV1-27	0.015	0.0086
Stem	IGKV1-33	0.005	0.005
Stem	IGKV1-39	0.075	0.0186
Stem	IGKV1-5	0.07	0.018
Stem	IGKV1-9	0.005	0.005
Stem	IGKV1-NL1	0	0
Stem	IGKV1D-12	0.005	0.005
Stem	IGKV1D-13	0	0
Stem	IGKV1D-16	0	0
Stem	IGKV2-24	0.005	0.005
Stem	IGKV2-28	0.01	0.007
Stem	IGKV2-30	0.045	0.0147
Stem	IGKV2-40	0.005	0.005
Stem	IGKV2D-29	0.01	0.007
Stem	IGKV3-11	0.085	0.0197
Stem	IGKV3-15	0.13	0.0238
Stem	IGKV3-20	0.21	0.0288
Stem	IGKV4-1	0.045	0.0147
Stem	IGLV1-36	0	0
Stem	IGLV1-40	0.025	0.011
Stem	IGLV1-44	0.015	0.0086
Stem	IGLV1-47	0	0
Stem	IGLV1-51	0.02	0.0099
Stem	IGLV10-54	0.01	0.007
Stem	IGLV2-11	0.02	0.0099
Stem	IGLV2-14	0.035	0.013
Stem	IGLV2-23	0.01	0.007
Stem	IGLV2-8	0.025	0.011
Stem	IGLV3-1	0.005	0.005
Stem	IGLV3-10	0.005	0.005
Stem	IGLV3-19	0.005	0.005
Stem	IGLV3-21	0.045	0.0147
Stem	IGLV3-25	0	0
Stem	IGLV3-9	0	0
Stem	IGLV4-69	0.005	0.005
Stem	IGLV6-57	0.005	0.005
Stem	IGLV7-46	0	0
